vpn,style,sku,barcode,size,neck_circumference,shoulder_width,arm_length,center_back,chest_width,waist_circumference,inner_leg,outer_leg,thigh_circumference,glutes,cost_price,rrp,sale_price,brand_id,description,category,cost_price_cents,rrp_cents,sale_price_cents,vendor,style_number,size_code,sub_category,fabric_composition,silhouette,main_colour,print_wash,remote_photo_url
1023235,,S18100402905,,M,41,44.5,87,78,104,,0,0,0,0,127,127,127,4,Farah slim smart shirt with collar bar,TOPS,12700,12700,12700,ASOS,S181004029,05,Shirt,"97% Cotton, 3% Elastane",skinny,white,Plain,http://images.asos-media.com/products/farah-slim-smart-shirt-with-collar-bar/7766785-1-white?$XXL$&wid=513&fit=constrain
665123,,S18100403005,,M,41,44.5,87,78,104,,0,0,0,0,109,109,109,4,Farah Brewer slim fit oxford shirt in burgundy,TOPS,10900,10900,10900,ASOS,S181004030,05,Shirt,100% Cotton,skinny,maroon,Plain,http://images.asos-media.com/products/farah-brewer-slim-fit-oxford-shirt-in-burgundy/6624822-1-bordeaux?$XXL$&wid=513&fit=constrain
295774,,S18100403105,,M,41,44.5,87,78,104,,0,0,0,0,109,109,109,4,Farah Brewer slim fit oxford shirt in white,TOPS,10900,10900,10900,ASOS,S181004031,05,Shirt,100% Cotton,skinny,white,Plain,http://images.asos-media.com/products/farah-brewer-slim-fit-oxford-shirt-in-white/2821269-1-white?$XXL$&wid=513&fit=constrain
1325545,,S18100403205,,M,41,44.5,87,78,104,,0,0,0,0,138,138,138,4,Farah Brewer slim fit oxford shirt in grey,TOPS,13800,13800,13800,ASOS,S181004032,05,Shirt,100% Cotton,skinny,grey,Plain,http://images.asos-media.com/products/farah-brewer-slim-fit-oxford-shirt-in-grey/10356965-1-grey?$XXL$&wid=513&fit=constrain
1237049,,S18100503305,,M,42.5,44,87.5,77.5,103,,0,0,0,0,40,40,40,5,Burton Menswear skinny fit shirt in blue,TOPS,4000,4000,4000,ASOS,S181005033,05,Shirt,"65% Polyester, 35% Cotton",skinny,light-blue,Plain,http://images.asos-media.com/products/burton-menswear-skinny-fit-shirt-in-blue/9309949-1-blue?$XXL$&wid=513&fit=constrain
1320176,,S18100503405,,M,42.5,44,87.5,77.5,103,,0,0,0,0,40,40,40,5,Burton Menswear Skinny Fit Oxford Shirt With Grandad Collar In Navy,TOPS,4000,4000,4000,ASOS,S181005034,05,Shirt,100% Cotton,skinny,navy,Plain,http://images.asos-media.com/products/burton-menswear-skinny-fit-oxford-shirt-with-grandad-collar-in-navy/10294591-1-navy?$XXL$&wid=513&fit=constrain
1027306,,S18100503505,,M,42.5,44,87.5,77.5,103,,0,0,0,0,44,44,44,5,Burton Menswear skinny oxford shirt with stretch,TOPS,4400,4400,4400,ASOS,S181005035,05,Shirt,"98% Cotton, 2% Elastane",skinny,white,Plain,http://images.asos-media.com/products/burton-menswear-skinny-oxford-shirt-with-stretch/7794801-1-white?$XXL$&wid=513&fit=constrain
1310845,,S18100503605,,M,42.5,44,87.5,77.5,103,,0,0,0,0,52,52,52,5,Burton Menswear Skinny Fit Shirt In Dusty Pink,TOPS,5200,5200,5200,ASOS,S181005036,05,Shirt,"78% Cotton, 19% Nylon, 3% Elastane",skinny,pink,Plain,http://images.asos-media.com/products/burton-menswear-skinny-fit-shirt-in-dusty-pink/10181233-1-pink?$XXL$&wid=513&fit=constrain
1248908,,S18100503705,,M,42.5,44,87.5,77.5,103,,0,0,0,0,44,44,44,5,Burton Menswear Skinny Fit Long Sleeve Shirt In White,TOPS,4400,4400,4400,ASOS,S181005037,05,Shirt,"62% Cotton, 33% Polyester, 5% Elastane",skinny,white,Plain,http://images.asos-media.com/products/burton-menswear-skinny-fit-long-sleeve-shirt-in-white/9456003-1-white?$XXL$&wid=513&fit=constrain
1298179,,S18100304005,,M,0,0,0,0,0,,69,96.5,36,29,40,40,40,3,Pull&Bear Tailored Pants In Grey Check,BOTTOMS,4000,4000,4000,ASOS,S181003040,05,Trouser,"65% Polyester, 35% Viscose",regular,grey,Check,http://images.asos-media.com/products/pullbear-tailored-pants-in-grey-check/10054154-1-grey?$XXL$&wid=513&fit=constrain
